class_id,slang,scientific_name,herbarium22_category_id,path,toxicity,species_label
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/000.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/001.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/002.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/003.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/004.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/005.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/006.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/007.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/008.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/009.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/010.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/011.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/012.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/013.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/014.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/015.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/016.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/017.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/018.jpg,0,3
0,Spider Plant,Chlorophytum comosum,-1,../input/toxic-plant-classification/tpc-imgs/nontoxic_images/000/019.jpg,0,3
